PLAYER_NAME,TEAM_NAME,COUNTRY,POINT_PER_GAME,REBOUND_PER_GAME,ASSIST_PER_GAME
norm-baker,Chicago Stags,Canada,0.0,,0.0
ron-baker,New York Knicks,USA,3.1,1.4,1.8
vin-baker,Oklahoma City Thunder,USA,15.0,7.4,1.9
wade-baldwin-iv,Memphis Grizzlies,USA,3.1,1.2,1.4
patrick-baldwin-jr,LA Clippers,USA,2.2,1.0,0.1
renaldo-balkman,New York Knicks,USA,4.0,3.5,0.6
cedric-ball,LA Clippers,USA,1.1,1.6,0.0
lamelo-ball,Charlotte Hornets,USA,25.2,4.9,7.4
lonzo-ball,Chicago Bulls,USA,7.6,3.4,3.3
greg-ballard,Washington Wizards,USA,12.4,6.1,2.2
herschel-baltimore,St. Louis Bombers,USA,2.4,,0.3
mo-bamba,New Orleans Pelicans,USA,4.3,4.5,0.6
paolo-banchero,Orlando Magic,USA,25.9,7.5,4.8
desmond-bane,Memphis Grizzlies,USA,19.2,6.1,5.3
gene-banks,San Antonio Spurs,USA,11.3,5.8,2.9
marcus-banks,Boston Celtics,USA,5.9,1.5,2.1
ken-bannister,New York Knicks,USA,5.9,3.5,0.4
mike-bantom,Indiana Pacers,USA,12.1,6.4,2.3
dalano-banton,Portland Trail Blazers,Canada,8.3,2.0,2.4
cat-barber,Atlanta Hawks,USA,0.0,1.0,1.0
john-barber,Atlanta Hawks,USA,1.4,1.2,0.0
leandro-barbosa,Phoenix Suns,Brazil,10.6,2.0,2.1
stephen-bardo,Dallas Mavericks,USA,2.2,1.8,1.3
jj-barea,Dallas Mavericks,Puerto Rico,8.9,2.1,3.9
andrea-bargnani,Toronto Raptors,Italy,14.3,4.6,1.2
cliff-barker,Indianapolis Olympians,USA,3.7,1.8,2.0
tom-barker,Atlanta Hawks,USA,6.5,5.3,0.8
charles-barkley,Philadelphia 76ers,USA,22.1,11.7,3.9
erick-barkley,Portland Trail Blazers,USA,2.9,0.8,1.5
don-barksdale,Boston Celtics,USA,11.0,8.0,2.1
dominick-barlow,Atlanta Hawks,USA,4.2,2.4,0.5
harrison-barnes,San Antonio Spurs,USA,12.3,3.8,1.7
harry-barnes,Houston Rockets,USA,2.0,1.2,0.2
jim-barnes,Boston Celtics,USA,8.8,6.5,0.8
marvin-barnes,LA Clippers,USA,9.2,5.5,1.5
matt-barnes,LA Clippers,USA,8.2,4.6,1.8
scottie-barnes,Toronto Raptors,USA,19.3,7.7,5.8
dick-barnett,New York Knicks,USA,15.8,2.9,2.8
jim-barnett,Golden State Warriors,USA,11.7,3.1,3.0
john-barnhill,Atlanta Hawks,USA,8.6,2.8,2.8
norton-barnhill,Oklahoma City Thunder,USA,1.0,0.8,0.3
leo-barnhorst,Indianapolis Olympians,USA,9.4,5.4,3.2
john-barr,St. Louis Bombers,USA,5.1,,0.9
mike-barr,Sacramento Kings,USA,3.9,1.8,2.4
thomas-barr,Sacramento Kings,USA,2.0,0.6,0.9
andre-barrett,Houston Rockets,USA,3.3,1.1,2.0
ernie-barrett,Boston Celtics,USA,4.9,2.6,1.7
rj-barrett,Toronto Raptors,Canada,21.1,6.3,5.4
earl-barron,Miami Heat,USA,4.6,3.5,0.5
dana-barros,Boston Celtics,USA,10.5,1.9,3.3
brent-barry,Oklahoma City Thunder,USA,9.3,3.0,3.2
drew-barry,Atlanta Hawks,USA,2.2,1.1,1.9
jon-barry,Milwaukee Bucks,USA,5.7,1.8,2.2
rick-barry,Golden State Warriors,USA,23.2,6.5,5.1
