Rk,Player,Nation,Pos,Team,Comp,Age,Born,Match,Starts,Min,Goals,Shots,SoT,Assists,CrdY,CrdR,TklW
1588,Jaime Mata,ESP,FW,Getafe,La Liga,34,1988,6,0,42,0,2,0,0,4,0,0
1589,Pape Matar Sarr,SEN,MF,Tottenham,Premier League,20,2002,4,1,137,0,0.67,0,0,0.67,0,3.33
1590,Eliot Matazo,BEL,MFFW,Monaco,Ligue 1,20,2002,11,6,536,0,0.17,0.17,0,0.33,0,0.33
1591,Jean-Philippe Mateta,FRA,FW,Crystal Palace,Premier League,25,1997,18,4,511,1,3.16,1.05,0,0.35,0,0.18
1592,Nemanja Mati?,SRB,MF,Roma,Serie A,34,1988,22,11,1223,1,0.59,0.22,0.07,0.15,0,1.25
1593,Joël Matip,CMR,DF,Liverpool,Premier League,31,1991,9,7,642,0,0,0,0,0.14,0,0.7
1594,Henning Matriciani,GER,DF,Schalke 04,Bundesliga,22,2000,10,10,876,0,0.1,0,0,0,0,1.13
1595,Chrislain Matsima,FRA,DFMF,Lorient,Ligue 1,20,2002,6,2,227,0,0.4,0,0,0,0,0
1596,Azor Matusiwa,NED,MF,Reims,Ligue 1,24,1998,16,15,1331,0,0.34,0.14,0,0.14,0,2.03
1597,Neal Maupay,FRA,FW,Everton,Premier League,26,1996,14,7,712,1,2.03,0.89,0,0.38,0,0.38
1598,Aïman Maurer,MAR,MF,Clermont Foot,Ligue 1,18,2004,2,2,146,0,1.25,1.25,0,0,0,0.63
1599,Stephy Mavididi,ENG,FW,Montpellier,Ligue 1,24,1998,12,11,796,2,2.05,0.91,0.11,0.11,0.11,1.25
1600,Konstantinos Mavropanos,GRE,DF,Stuttgart,Bundesliga,25,1997,17,16,1418,2,1.84,0.51,0.06,0.32,0,1.27
1601,Christian Mawissa,FRA,DF,Toulouse,Ligue 1,17,2005,2,1,98,0,0,0,0,0.91,0,0
1602,Philipp Max,GER,DF,Eint Frankfurt,Bundesliga,29,1993,1,1,68,0,1.25,0,0,0,0,1.25
1603,Eric Maxim Choupo-Moting,CMR,FW,Bayern Munich,Bundesliga,33,1989,14,10,837,7,2.47,1.08,0.22,0,0,0.75
1604,Luís Maximiano,POR,GK,Lazio,Serie A,24,1999,1,1,5,0,0,0,0,0,10,0
1605,Fernand Mayembo,CGO,DF,Ajaccio,Ligue 1,27,1996,8,6,541,0,0.67,0,0,0.17,0,0.33
1606,Borja Mayoral,ESP,FW,Getafe,La Liga,25,1997,20,20,1624,4,1.56,0.39,0,0.17,0,0.17
1607,Noussair Mazraoui,MAR,DF,Bayern Munich,Bundesliga,25,1997,11,6,556,0,0.65,0,0.48,0,0,1.94
1608,Pasquale Mazzocchi,ITA,DF,Salernitana,Serie A,27,1995,15,15,1199,2,0.83,0.23,0.15,0.15,0,0.68
1609,Kevin Mbabu,SUI,DFFW,Fulham,Premier League,27,1995,6,1,144,0,0,0,0.63,0.63,0,1.25
1610,Kylian Mbappé,FRA,FW,Paris S-G,Ligue 1,24,1998,19,17,1468,13,4.42,2.21,0.12,0.18,0,0.12
1611,Mamadou Mbaye,SEN,DF,Cádiz,La Liga,24,1998,7,6,537,0,0.17,0,0,0,0,0.5
1612,Chancel Mbemba,COD,DF,Marseille,Ligue 1,28,1994,23,22,1925,2,0.75,0.23,0,0.09,0,0.93
1613,Bryan Mbeumo,CMR,FW,Brentford,Premier League,23,1999,22,22,1657,5,1.96,0.92,0.11,0.22,0,0.33
1614,Jason Mbock,FRA,MFFW,Angers,Ligue 1,23,1999,2,0,25,0,0,0,0,0,0,0
1615,Nathanael Mbuku,FRA,FWMF,Reims,Ligue 1,20,2002,6,0,66,0,2.86,0,0,0,0,1.43
1616,John McGinn,SCO,MF,Aston Villa,Premier League,28,1994,17,14,1223,0,1.54,0.37,0.07,0.29,0,1.76
1617,Scott McKenna,SCO,DF,Nott'ham Forest,Premier League,26,1996,18,17,1462,0,0.12,0,0,0.25,0,0.43
1618,Weston McKennie,USA,MF,Leeds United,Premier League,24,1998,2,1,123,0,0,0,0,0.71,0,0.71
1619,Weston McKennie,USA,MFDF,Juventus,Serie A,24,1998,15,13,1052,1,0.68,0.34,0.09,0,0,0.43
1620,Dwight McNeil,ENG,FWDF,Everton,Premier League,23,1999,19,11,981,2,1.19,0.18,0.18,0.18,0,1.83
1621,Scott McTominay,SCO,MF,Manchester Utd,Premier League,26,1996,15,7,753,0,0.83,0.36,0,0.6,0,1.79
1622,Gary Medel,CHI,MFDF,Bologna,Serie A,35,1987,17,16,1267,0,0.14,0,0.07,0.35,0,0.99
1623,Facundo Medina,ARG,DF,Lens,Ligue 1,23,1999,20,20,1700,1,0.42,0.11,0.11,0.26,0,0.69
1624,Ben Mee,ENG,DF,Brentford,Premier League,33,1989,21,21,1838,3,0.74,0.2,0,0.05,0,0.54
1625,Bamo Meïté,CIV,DF,Lorient,Ligue 1,21,2001,3,2,249,0,0.36,0,0,0.36,0,0
1626,Soualiho Meïté,FRA,MF,Cremonese,Serie A,28,1994,15,14,1139,0,0.79,0.08,0.08,0.39,0,1.26
1627,Farid El Melali,ALG,FWDF,Angers,Ligue 1,25,1997,9,5,400,0,1.36,0.23,0,0.23,0,2.5
1628,Gonzalo Melero,ESP,MF,Almería,La Liga,29,1994,15,14,1084,2,1.17,0.5,0.25,0.25,0,0.75
1629,Birger Meling,NOR,DF,Rennes,Ligue 1,28,1994,16,4,530,0,0,0,0,0.17,0.17,1.02
1630,Memphis,NED,FW,Barcelona,La Liga,28,1994,2,2,114,1,4.62,2.31,0,0,0,0.77
1631,Memphis,NED,FW,Atlético Madrid,La Liga,28,1994,2,0,22,0,5,0,0,5,0,0
1632,Houboulang Mendes,FRA,DF,Almería,La Liga,24,1998,11,8,694,0,0.13,0,0.13,0.13,0,1.04
1633,Nuno Mendes,POR,DFMF,Paris S-G,Ligue 1,20,2002,14,10,896,1,0.5,0.4,0.4,0.2,0,1.8
1634,Thiago Mendes,BRA,DFMF,Lyon,Ligue 1,30,1992,20,17,1483,0,0.61,0.12,0.06,0.12,0,1.09
1635,Brais Méndez,ESP,MF,Real Sociedad,La Liga,26,1997,19,17,1451,7,2.36,0.93,0.19,0.31,0,1.43
1636,Diego Méndez,ESP,MF,Rayo Vallecano,La Liga,19,2003,1,0,1,0,0,0,0,0,0,0
1637,Antoine Mendy,FRA,DF,Nice,Ligue 1,18,2004,6,2,170,0,2.63,1.05,0.53,0,0,2.63
1638,Arial Mendy,SEN,DF,Clermont Foot,Ligue 1,28,1994,5,1,223,0,0.8,0,0,0,0,0.8
1639,Batista Mendy,FRA,MFDF,Angers,Ligue 1,23,2000,20,20,1622,0,0.33,0,0,0.44,0.06,0.94
1640,Edouard Mendy,SEN,GK,Chelsea,Premier League,30,1992,9,8,765,0,0,0,0,0.12,0,0
1641,Ferland Mendy,FRA,DF,Real Madrid,La Liga,27,1995,14,14,1127,0,0.08,0,0.08,0.16,0,0.72
